                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    110,                0.76956,                0.53308,                0.89848,                0.50262,                0.85726,                0.52321,                0.43244,                0.82797,                 1.3225,                 1.0104,              0.0010674,              0.0010674,              0.0010674
                    111,                0.76862,                0.52922,                0.89738,                0.49575,                0.90167,                0.54344,                0.45067,                0.80096,                 1.3893,                 1.0016,              0.0010619,              0.0010619,              0.0010619
                    112,                0.77519,                0.53171,                0.89619,                0.51127,                0.89511,                0.56481,                0.47461,                0.78848,                  1.273,                0.98331,              0.0010564,              0.0010564,              0.0010564
                    113,                0.79499,                0.54649,                0.90607,                0.49257,                0.88122,                0.54654,                0.45672,                0.85323,                 1.3712,                 1.0077,              0.0010509,              0.0010509,              0.0010509
                    114,                0.77266,                0.52513,                0.89525,                0.51046,                0.87125,                0.53467,                0.43889,                0.90187,                 1.6474,                0.98271,              0.0010454,              0.0010454,              0.0010454
                    115,                0.76994,                0.51789,                 0.8933,                0.51769,                0.91859,                0.54519,                0.44353,                0.97564,                 1.6937,                 1.0342,              0.0010399,              0.0010399,              0.0010399
                    116,                0.76085,                0.51077,                0.89734,                0.50619,                0.81656,                0.51534,                0.41133,                0.91307,                 1.4174,                0.96327,              0.0010344,              0.0010344,              0.0010344
                    117,                0.77612,                0.51776,                 0.8978,                 0.5677,                0.57274,                0.47246,                0.37355,                 1.1711,                 3.4386,                 1.0229,              0.0010289,              0.0010289,              0.0010289
                    118,                 0.7754,                0.51596,                0.89183,                0.50099,                0.92133,                0.54791,                0.45757,                0.82463,                 1.4014,                0.99942,              0.0010234,              0.0010234,              0.0010234
                    119,                0.76503,                 0.5245,                0.89334,                0.49808,                 0.8645,                0.53554,                0.45006,                0.92013,                 1.6832,                 1.0171,              0.0010179,              0.0010179,              0.0010179
                    120,                0.75658,                0.51478,                0.89162,                0.50751,                0.88545,                0.53819,                0.45349,                0.81271,                 1.4392,                0.98358,              0.0010124,              0.0010124,              0.0010124
                    121,                 0.7413,                0.50874,                0.88713,                0.51219,                0.88515,                0.55891,                0.47242,                 0.8736,                  1.386,                 1.0137,              0.0010069,              0.0010069,              0.0010069
                    122,                0.77012,                0.51199,                0.89081,                0.51529,                0.86889,                0.55061,                0.45941,                 0.8259,                 1.3802,                0.99769,              0.0010014,              0.0010014,              0.0010014
                    123,                0.76301,                0.51716,                0.89132,                 0.5008,                0.90176,                 0.5628,                0.47611,                0.78092,                 1.5838,                0.90065,             0.00099587,             0.00099587,             0.00099587
                    124,                0.75947,                0.51904,                0.89745,                0.50841,                0.88787,                0.53553,                  0.438,                0.81854,                  1.331,                0.97994,             0.00099036,             0.00099036,             0.00099036
                    125,                 0.7342,                0.50238,                0.88304,                0.51939,                0.90526,                0.56492,                0.47327,                  0.873,                 1.2501,                 1.0052,             0.00098486,             0.00098486,             0.00098486
